"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/TutorialMaterial.TutorialMaterial","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/LearningKit_Games/Assets/Characters/Character/Material/M_EpicCharacter_Optimized.M_EpicCharacter_Optimized","0","0","24","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Wood_Dark_Parent.M_Wood_Dark_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Metal_Black_Parent.M_Metal_Black_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_BeanStalk.M_BeanStalk","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_Leaf.M_Leaf","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Tree.M_Tree","0","0","44","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plastic_black_Parent.M_Plastic_black_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Cliff.M_Cliff","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Grass.M_Grass","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plants.M_Plants","0","0","49","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Plastic_Blue_Pattern_Parent.M_Plastic_Blue_Pattern_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_GrassTrim.M_GrassTrim","0","0","49","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Grass_nopattern.M_Grass_nopattern","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Crate_Light_Parent.M_Crate_Light_Parent","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Materials/M_Cloud.M_Cloud","0","0","44","1","0.000000","0","0"
"/Game/Platformer/Materials/BeanStalks_Materials/M_StoneBlock.M_StoneBlock","0","0","21","1","0.000000","0","0"
"/Game/Platformer/Ocean/Materials/M_OceanWater_1.M_OceanWater_1","0","0","150","2","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
"/Game/LearningKit_Games/Assets/_Shared/Materials/M_LearningKit_MasterMaterial.M_LearningKit_MasterMaterial","0","0","897","8","0.000000","0","198"
"/Game/StarterContent/Particles/Materials/M_smoke_subUV.M_smoke_subUV","0","0","84","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","0","32","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","0","24","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/M_Burst.M_Burst","0","0","30","1","0.000000","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","0","0","33","1","0.000000","0","0"
"/Game/LearningKit_Games/Materials/Green.Green","0","0","21","1","0.000000","0","0"
"/Game/LearningKit_Games/MaterialLibrary/Misc/M_SensorMulti_UI.M_SensorMulti_UI","0","0","9","1","0.000000","0","0"
"/Game/LearningKit_Games/MaterialLibrary/Misc/M_Spline_Center.M_Spline_Center","0","0","60","1","0.000000","0","0"
"/Game/InfiniteMatrix/Meshes/SM_ProjectileMesh.SM_ProjectileMesh","0","0","12","1","0.000000","0","0"
